iter	Passed	Remaining
0	1	142
1	2	124
2	4	130
3	4	115
4	6	117
5	7	119
6	8	117
7	10	118
8	11	114
9	12	116
10	14	114
11	15	113
12	16	111
13	17	107
14	18	103
15	19	101
16	20	98
17	20	95
18	21	93
19	22	90
20	23	88
21	24	86
22	25	84
23	26	82
24	26	80
25	27	78
26	28	77
27	29	75
28	30	74
29	31	72
30	31	70
31	32	69
32	33	67
33	34	66
34	34	64
35	35	63
36	36	61
37	37	60
38	37	59
39	38	57
40	38	55
41	39	54
42	39	52
43	40	51
44	41	50
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	28
65	54	28
66	55	27
67	55	26
68	56	25
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	65	11
85	66	10
86	66	9
87	67	9
88	67	8
89	68	7
90	68	6
91	69	6
92	69	5
93	70	4
94	70	3
95	71	2
96	71	2
97	72	1
98	72	0
99	73	0
