iter	Passed	Remaining
0	171	171557
1	173	86378
2	174	57833
3	174	43533
4	175	34938
5	176	29196
6	176	25081
7	177	21996
8	177	19596
9	178	17673
10	179	16099
11	179	14795
12	180	13694
13	180	12743
14	181	11926
15	182	11212
16	182	10575
17	183	10009
18	184	9507
19	184	9054
20	185	8640
21	186	8271
22	186	7925
23	187	7609
24	187	7320
25	188	7054
26	188	6804
27	189	6573
28	189	6360
29	190	6160
30	191	5975
31	191	5798
32	192	5631
33	192	5474
34	193	5328
35	193	5191
36	194	5059
37	194	4936
38	195	4818
39	196	4706
40	196	4604
41	197	4504
42	198	4407
43	198	4314
44	199	4229
45	199	4144
46	200	4061
47	200	3985
48	201	3911
49	202	3841
50	202	3772
51	203	3706
52	203	3644
53	204	3583
54	205	3524
55	205	3467
56	206	3412
57	206	3360
58	207	3309
59	207	3258
60	208	3210
61	209	3163
62	209	3118
63	210	3077
64	210	3034
65	211	2994
66	212	2956
67	212	2918
68	213	2880
69	214	2844
70	214	2808
71	215	2773
72	215	2740
73	216	2709
74	217	2677
75	217	2645
76	218	2615
77	218	2586
78	219	2557
79	219	2528
80	220	2500
81	220	2473
82	221	2444
83	221	2418
84	222	2393
85	222	2369
86	223	2345
87	224	2322
88	224	2299
89	225	2276
90	225	2254
91	226	2233
92	226	2213
93	227	2193
94	228	2172
95	228	2152
96	229	2133
97	229	2113
98	230	2095
99	230	2077
100	231	2060
101	232	2042
102	232	2026
103	233	2009
104	233	1993
105	234	1977
106	235	1961
107	235	1945
108	236	1930
109	236	1914
110	237	1899
111	237	1884
112	238	1870
113	238	1856
114	239	1841
115	239	1827
116	240	1812
117	240	1800
118	241	1788
119	242	1776
120	242	1764
121	243	1751
122	243	1739
123	244	1727
124	245	1715
125	245	1704
126	246	1691
127	246	1680
128	247	1670
129	247	1658
130	248	1647
131	248	1637
132	249	1626
133	250	1616
134	250	1606
135	251	1596
136	251	1586
137	252	1576
138	252	1566
139	253	1557
140	254	1547
141	254	1537
142	255	1529
143	255	1520
144	256	1512
145	257	1503
146	257	1494
147	258	1486
148	258	1477
149	259	1469
150	259	1460
151	260	1452
152	260	1444
153	261	1436
154	261	1427
155	262	1419
156	262	1412
157	263	1404
158	264	1396
159	264	1389
160	264	1380
161	265	1373
162	265	1365
163	266	1358
164	267	1351
165	267	1344
166	268	1337
167	268	1330
168	269	1323
169	269	1317
170	270	1310
171	270	1304
172	271	1297
173	272	1291
174	272	1285
175	273	1279
176	273	1273
177	274	1267
178	274	1261
179	275	1254
180	275	1248
181	276	1242
182	277	1236
183	277	1230
184	278	1224
185	278	1219
186	279	1213
187	279	1207
188	280	1202
189	280	1197
190	281	1191
191	281	1186
192	282	1181
193	283	1176
194	283	1171
195	284	1166
196	284	1160
197	285	1155
198	286	1151
199	286	1146
200	287	1141
201	287	1136
202	288	1131
203	288	1126
204	289	1122
205	289	1117
206	290	1112
207	290	1107
208	291	1103
209	291	1098
210	292	1093
211	293	1089
212	293	1084
213	294	1080
214	294	1075
215	295	1071
216	295	1066
217	296	1062
218	296	1058
219	297	1054
220	297	1049
221	298	1045
222	298	1041
223	299	1037
224	299	1033
225	300	1029
226	301	1025
227	301	1021
228	302	1018
229	303	1014
230	303	1010
231	304	1007
232	304	1003
233	305	1000
234	306	996
235	306	992
236	307	988
237	307	984
238	308	981
239	308	977
240	309	973
241	309	969
242	310	966
243	310	963
244	311	959
245	311	955
246	312	952
247	312	948
248	313	945
249	314	942
250	314	938
251	315	935
